Date	Month	Channel	Owner	Zone	Sales Value	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit
4/29/2015	15-Apr	SINGLE FAMILY	1209  SPRINGWOOD DR 	7		179000	179			No
4/29/2015	15-Apr	SINGLE FAMILY	209  LEXINGTON WAY 	7		263000	263			No
4/29/2015	15-Apr	SINGLE FAMILY	2920  DONNA HILL DR 	7		218000	218			No
4/29/2015	15-Apr	SINGLE FAMILY	604  HIBBITTS CT 	7		130000	130			No
4/29/2015	15-Apr	SINGLE FAMILY	3231  CLOVERWOOD DR 	7		124900	124.9			No
4/29/2015	15-Apr	SINGLE FAMILY	5117  BAY OVERLOOK DR 	8		237000	237			No
4/29/2015	15-Apr	SINGLE FAMILY	1825  BUNTINGWAY DR 	8		262500	262.5			No
4/30/2015	15-Apr	SINGLE FAMILY	111  JAY ST 	1		91700	91.7			No
4/30/2015	15-Apr	SINGLE FAMILY	2611  LIVE OAK RD 	1		220000	220			No
4/30/2015	15-Apr	SINGLE FAMILY	3850  SCOTWOOD DR 	1		130000	130			No
4/30/2015	15-Apr	SINGLE FAMILY	4705  RICHMAR CT 	1		335000	335			No
4/30/2015	15-Apr	SINGLE FAMILY	1101  NUTMEG CT 	1		334900	334.9			No
4/30/2015	15-Apr	SINGLE FAMILY	5949  FIRESIDE DR 	1		360000	360			No
4/30/2015	15-Apr	SINGLE FAMILY	5142  COCHRAN DR 	1		260000	260			No
4/30/2015	15-Apr	SINGLE FAMILY	800  TINTERN ABBOTT CT 	1		203000	203			No
4/30/2015	15-Apr	SINGLE FAMILY	5841  WOODLANDS AVE 	1		257000	257			No
4/30/2015	15-Apr	SINGLE FAMILY	508  CHAMPIONS CT 	1		233000	233			No
4/30/2015	15-Apr	SINGLE FAMILY	721  N WICKSHIRE WAY 	1		350000	350			No
4/30/2015	15-Apr	SINGLE FAMILY	909  BRANCASTER LN 	1		394999	394.999			No
4/30/2015	15-Apr	SINGLE FAMILY	2100  ARGO PL 	1		260000	260			No
4/30/2015	15-Apr	SINGLE FAMILY	5664  DEER VALLEY TRL 	1		245000	245			No
4/30/2015	15-Apr	SINGLE FAMILY	7834  HEATON WAY 	1		199900	199.9			No
4/30/2015	15-Apr	SINGLE FAMILY	8664  GAUPHIN PL 	1		182000	182			No
4/30/2015	15-Apr	SINGLE FAMILY	2682  AVERY PARK DR 	1		192000	192			No
4/30/2015	15-Apr	SINGLE FAMILY	2449  HASKELL DR 	1		197000	197			No
4/30/2015	15-Apr	SINGLE FAMILY	704  SUGAR MILL TRL 	1		286000	286			No
4/30/2015	15-Apr	SINGLE FAMILY	6703  SUNNYWOOD DR 	1		180000	180			No
4/30/2015	15-Apr	SINGLE FAMILY	201  STECOAH CT 	1		270000	270			No
4/30/2015	15-Apr	SINGLE FAMILY	721  MEADOWCROFT LN 	1		329900	329.9			No
4/30/2015	15-Apr	SINGLE FAMILY	416  MARLOWE CT 	1		342575	342.575			No
4/30/2015	15-Apr	SINGLE FAMILY	138  POSTWOOD PL 	2		545750	545.75			No
4/30/2015	15-Apr	SINGLE FAMILY	320  WILSON BLVD 	2		998000	998			No
4/30/2015	15-Apr	SINGLE FAMILY	3103  VANDERBILT PL 	2		250000	250			No
4/30/2015	15-Apr	SINGLE FAMILY	2826  WESTWOOD AVE 	2		279900	279.9			No
4/30/2015	15-Apr	SINGLE FAMILY	113  SAVOY CIR 	2		785000	785			No
4/30/2015	15-Apr	SINGLE FAMILY	2309  KNOWLES AVE 	2		370000	370			No
4/30/2015	15-Apr	SINGLE FAMILY	56  REVERE PARK 	2		550000	550			No
4/30/2015	15-Apr	SINGLE FAMILY	148  PROSPECT HL 	2		735000	735			No
4/30/2015	15-Apr	SINGLE FAMILY	3702  AUBURN LN 	2		547250	547.25			No
4/30/2015	15-Apr	SINGLE FAMILY	717  VAIL CT 	2		645000	645			No
4/30/2015	15-Apr	SINGLE FAMILY	2500  BELMONT BLVD 	2		1360000	1360			No
4/30/2015	15-Apr	SINGLE FAMILY	2920  22ND AVE S 	2		759000	759			No
4/30/2015	15-Apr	SINGLE FAMILY	1620  STOKES LN 	2		565000	565			No
4/30/2015	15-Apr	SINGLE FAMILY	3922  SKYLINE DR 	2		719000	719			No
4/30/2015	15-Apr	SINGLE FAMILY	1309  BEECHWOOD AVE 	2		469000	469			No
4/30/2015	15-Apr	SINGLE FAMILY	5927  OLD HARDING PIKE 	2		293000	293			No
4/30/2015	15-Apr	SINGLE FAMILY	6520  MELINDA DR 	2		510000	510			No
4/30/2015	15-Apr	SINGLE FAMILY	4414  IROQUOIS AVE 	2		1950000	1950			No
4/30/2015	15-Apr	SINGLE FAMILY	4410  SUNNYBROOK DR 	2		1525000	1525			No
4/30/2015	15-Apr	SINGLE FAMILY	4401  HERBERT PL 	2		1300000	1300			No
4/30/2015	15-Apr	SINGLE FAMILY	4511  YANCEY DR 	2		500000	500			No
4/30/2015	15-Apr	SINGLE FAMILY	4201  KIRTLAND RD 	2		818850	818.85			No
4/30/2015	15-Apr	SINGLE FAMILY	102  ABBEYWOOD DR 	2		604000	604			No
4/30/2015	15-Apr	SINGLE FAMILY	4124  LEALAND LN 	2		385000	385			No
4/30/2015	15-Apr	SINGLE FAMILY	7809  RIVER FORK DR 	2		339000	339			No
4/30/2015	15-Apr	SINGLE FAMILY	7461  HARNESS DR 	2		230000	230			No
4/30/2015	15-Apr	SINGLE FAMILY	2013  STONEHURST DR 	2		660000	660			No
4/30/2015	15-Apr	SINGLE FAMILY	5932  ROBERT E LEE DR 	2		1100000	1100			No
4/30/2015	15-Apr	SINGLE FAMILY	8045  MONTCASTLE DR 	2		371000	371			No
4/30/2015	15-Apr	SINGLE FAMILY	7009  MEADOW RIDGE CIR 	2		305000	305			No
4/30/2015	15-Apr	SINGLE FAMILY	5524  CHERRYWOOD DR 	2		460000	460			No
4/30/2015	15-Apr	SINGLE FAMILY	6108  LOUISIANA AVE 	3		156000	156			No
4/30/2015	15-Apr	SINGLE FAMILY	5412  MICHIGAN AVE 	3		277000	277			No
4/30/2015	15-Apr	SINGLE FAMILY	5001  KENTUCKY AVE 	3		250000	250			No
4/30/2015	15-Apr	SINGLE FAMILY	5200  KENTUCKY AVE 	3		377000	377			No
4/30/2015	15-Apr	SINGLE FAMILY	5803  MAXON AVE 	3		220000	220			No
4/30/2015	15-Apr	SINGLE FAMILY	4506 B  ILLINOIS AVE 	3		371702	371.702			No
4/30/2015	15-Apr	SINGLE FAMILY	105  KENAUM CT 	3		267900	267.9			No
4/30/2015	15-Apr	SINGLE FAMILY	112  FORREST VALLEY CT 	3		425000	425			No
4/30/2015	15-Apr	SINGLE FAMILY	3025  BUENAVIEW BLVD 	4		145000	145			No
4/30/2015	15-Apr	SINGLE FAMILY	107  BUTTERFIELD CT 	6		162500	162.5			No
4/30/2015	15-Apr	SINGLE FAMILY	2537  VAL MARIE DR 	6		189340	189.34			No
4/30/2015	15-Apr	SINGLE FAMILY	415  HAMBLEN DR 	6		190500	190.5			No
4/30/2015	15-Apr	SINGLE FAMILY	1000  CHEYENNE BLVD 	6		91000	91			No
4/30/2015	15-Apr	SINGLE FAMILY	1724  COMANCHE RUN 	6		179899	179.899			No
4/30/2015	15-Apr	SINGLE FAMILY	149  KIOWA TRL 	6		199900	199.9			No
4/30/2015	15-Apr	SINGLE FAMILY	1007  VIRGINIA AVE 	6		404000	404			No
4/30/2015	15-Apr	SINGLE FAMILY	160  DELLWAY DR 	6		165000	165			No
4/30/2015	15-Apr	SINGLE FAMILY	2525  FLAMINGO DR 	6		255000	255			No
4/30/2015	15-Apr	SINGLE FAMILY	1334  MERIDIAN ST 	6		360000	360			No
4/30/2015	15-Apr	SINGLE FAMILY	1224  KIRKLAND AVE 	6		359900	359.9			No
4/30/2015	15-Apr	SINGLE FAMILY	916  DOUGLAS AVE 	6		83000	83			No
4/30/2015	15-Apr	SINGLE FAMILY	4007  MOSS ROSE DR 	6		295500	295.5			No
4/30/2015	15-Apr	SINGLE FAMILY	1001  STOCKELL ST 	6		125000	125			No
4/30/2015	15-Apr	SINGLE FAMILY	1009  CHICAMAUGA AVE 	6		160000	160			No
4/30/2015	15-Apr	SINGLE FAMILY	1024  W EASTLAND AVE 	6		279900	279.9			No
4/30/2015	15-Apr	SINGLE FAMILY	216  GENTRY AVE 	6		266000	266			No
4/30/2015	15-Apr	SINGLE FAMILY	708  PORTER RD 	6		449000	449			No
4/30/2015	15-Apr	SINGLE FAMILY	918  PRESTON DR 	6		234900	234.9			No
4/30/2015	15-Apr	SINGLE FAMILY	1418  LILLIAN ST 	6		423000	423			No
4/30/2015	15-Apr	SINGLE FAMILY	1703  FATHERLAND ST 	6		550000	550			No
4/30/2015	15-Apr	SINGLE FAMILY	1108 A  GLENVIEW DR 	6		449000	449			No
4/30/2015	15-Apr	SINGLE FAMILY	915  S 12TH ST 	6		125000	125			No
4/30/2015	15-Apr	SINGLE FAMILY	110  HILLER DR 	7		92000	92			No
4/30/2015	15-Apr	SINGLE FAMILY	202  HURST DR 	7		182000	182			No
4/30/2015	15-Apr	SINGLE FAMILY	1825  MERRITT ST 	7		147500	147.5			No
4/30/2015	15-Apr	SINGLE FAMILY	1229  JACKSONS HILL RD 	7		178000	178			No
4/30/2015	15-Apr	SINGLE FAMILY	2308  WILLESDEN GRN 	7		196000	196			No
4/30/2015	15-Apr	SINGLE FAMILY	401  LORNA DR 	7		148000	148			No
4/30/2015	15-Apr	SINGLE FAMILY	5648  CHESTNUTWOOD TRL 	8		201000	201			No
4/30/2015	15-Apr	SINGLE FAMILY	762  WINTHORNE DR 	8		134050	134.05			No
4/30/2015	15-Apr	SINGLE FAMILY	733  GREYMONT DR 	8		192000	192			No
4/30/2015	15-Apr	SINGLE FAMILY	3506  MCGAVOCK PIKE 	8		157000	157			No
4/30/2015	15-Apr	SINGLE FAMILY	1908  TERRAGON CT 	8		125000	125			No
4/30/2015	15-Apr	SINGLE FAMILY	2024  LEATHERBURY CT 	8		202000	202			No
4/30/2015	15-Apr	SINGLE FAMILY	2017  HAMILTON GLEN DR 	8		147000	147			No
4/30/2015	15-Apr	SINGLE FAMILY	4124  PLEASANT COLONY DR 	8		163000	163			No
4/30/2015	15-Apr	SINGLE FAMILY	6341  PADDINGTON WAY 	8		198000	198			No
4/30/2015	15-Apr	SINGLE FAMILY	1925  BROOKSHINE PRT 	8		176000	176			No
4/30/2015	15-Apr	SINGLE FAMILY	5840  MURPHYWOOD XING 	8		167000	167			No
4/30/2015	15-Apr	SINGLE FAMILY	924  BIRCHMILL PT S 	8		125900	125.9			No
5/1/2015	15-May	SINGLE FAMILY	153  RAINS AVE 	1		130000	130			No
5/1/2015	15-May	SINGLE FAMILY	2743  ROSEDALE PL 	1		256400	256.4			No
5/1/2015	15-May	SINGLE FAMILY	510  TIMMONS ST 	1		110000	110			No
5/1/2015	15-May	SINGLE FAMILY	4724  ABBAY DR 	1		270000	270			No
5/1/2015	15-May	SINGLE FAMILY	705  PALMETTO CT 	1		425000	425			No
5/1/2015	15-May	SINGLE FAMILY	5740  STERLING OAKS DR 	1		314900	314.9			No
5/1/2015	15-May	SINGLE FAMILY	2339  SOMERSET VALLEY DR 	1		239740	239.74			No
5/1/2015	15-May	SINGLE FAMILY	8726  GAUPHIN PL 	1		177000	177			No
5/1/2015	15-May	SINGLE FAMILY	6707  SUNNYWOOD DR 	1		180900	180.9			No
5/1/2015	15-May	SINGLE FAMILY	6445  CHARLOTTE ROAD CIR 	2		299900	299.9			No
5/1/2015	15-May	SINGLE FAMILY	209  54TH AVE N 	2		577000	577			No
5/1/2015	15-May	SINGLE FAMILY	5664  KENDALL DR 	2		285000	285			No
5/1/2015	15-May	SINGLE FAMILY	272  CHEROKEE STATION DR 	2		700500	700.5			No
5/1/2015	15-May	SINGLE FAMILY	304  HILLWOOD BLVD 	2		1100000	1100			No
5/1/2015	15-May	SINGLE FAMILY	838  BRESSLYN RD 	2		1025000	1025			No
5/1/2015	15-May	SINGLE FAMILY	661  BROOK HOLLOW RD 	2		477000	477			No
5/1/2015	15-May	SINGLE FAMILY	159  CHARLESTON PARK 	2		730000	730			No
5/1/2015	15-May	SINGLE FAMILY	4005  VAILWOOD DR 	2		450000	450			No
5/1/2015	15-May	SINGLE FAMILY	3822  CROSS CREEK RD 	2		525800	525.8			No
5/1/2015	15-May	SINGLE FAMILY	7300  CORONADO CT 	2		168000	168			No
5/1/2015	15-May	SINGLE FAMILY	4240  WALLACE LN 	2		1580000	1580			No
5/1/2015	15-May	SINGLE FAMILY	3608  COLEWOOD DR 	2		1580000	1580			No
5/1/2015	15-May	SINGLE FAMILY	1022  CHANCERY LN 	2		1842500	1842.5			No
5/1/2015	15-May	SINGLE FAMILY	2710  HEMINGWAY DR 	2		600000	600			No
5/1/2015	15-May	SINGLE FAMILY	108  LEXINGTON CT 	2		585000	585			No
5/1/2015	15-May	SINGLE FAMILY	4120  BALDWIN ARBOR 	2		737500	737.5			No
5/1/2015	15-May	SINGLE FAMILY	530  AVONDALE PARK BLVD 	2		259375	259.375			No
5/1/2015	15-May	SINGLE FAMILY	933  MORTON MILL RD 	2		279900	279.9			No
5/1/2015	15-May	SINGLE FAMILY	1411  OTTER CREEK RD 	2		477500	477.5			No
5/1/2015	15-May	SINGLE FAMILY	705  COLLINS TRACE CT 	2		249900	249.9			No
5/1/2015	15-May	SINGLE FAMILY	1818 A  SCOVEL ST 	3		190000	190			No
5/1/2015	15-May	SINGLE FAMILY	5507 B  NEW YORK AVE 	3		329900	329.9			No
5/1/2015	15-May	SINGLE FAMILY	7449  RIVERLAND DR 	3		239500	239.5			No
5/1/2015	15-May	SINGLE FAMILY	808  WILLOW TRACE CT 	4		99900	99.9			No
5/1/2015	15-May	SINGLE FAMILY	2009  SPRING BRANCH DR 	6		219900	219.9			No
5/1/2015	15-May	SINGLE FAMILY	733  MAYLENE DR 	6		162500	162.5			No
5/1/2015	15-May	SINGLE FAMILY	916  AMQUI CT 	6		125000	125			No
5/1/2015	15-May	SINGLE FAMILY	1020  GIBSON DR 	6		525000	525			No
5/1/2015	15-May	SINGLE FAMILY	4300  GLYNDA DR 	6		121300	121.3			No
5/1/2015	15-May	SINGLE FAMILY	797  GILLOCK ST 	6		350000	350			No
5/1/2015	15-May	SINGLE FAMILY	1406  NORVEL AVE 	6		429000	429			No
5/1/2015	15-May	SINGLE FAMILY	1529  MOHAWK TRL 	6		125000	125			No
5/1/2015	15-May	SINGLE FAMILY	1331 B  PENNOCK AVE 	6		299900	299.9			No
5/1/2015	15-May	SINGLE FAMILY	704  DOUGLAS AVE 	6		137000	137			No
5/1/2015	15-May	SINGLE FAMILY	1717  WELCOME LN 	6		143000	143			No
5/1/2015	15-May	SINGLE FAMILY	1013  N 2ND ST 	6		112000	112			No
5/1/2015	15-May	SINGLE FAMILY	1010  PENNOCK AVE 	6		130427	130.427			No
5/1/2015	15-May	SINGLE FAMILY	912  MANILA AVE 	6		191500	191.5			No
5/1/2015	15-May	SINGLE FAMILY	820  LISCHEY AVE 	6		277500	277.5			No
5/1/2015	15-May	SINGLE FAMILY	316  HANCOCK ST 	6		160000	160			No
5/1/2015	15-May	SINGLE FAMILY	2711  BARCLAY DR 	6		256000	256			No
5/1/2015	15-May	SINGLE FAMILY	903  ROSE PARK DR 	6		330000	330			No
5/1/2015	15-May	SINGLE FAMILY	285  MARTINGALE DR 	7		157000	157			No
5/1/2015	15-May	SINGLE FAMILY	1218  BERRY ST 	7		129000	129			No
5/1/2015	15-May	SINGLE FAMILY	1712  OVERTON ST 	7		153500	153.5			No
5/1/2015	15-May	SINGLE FAMILY	1432  SHANNON PL 	7		655000	655			No
5/1/2015	15-May	SINGLE FAMILY	681  BELGIUM DR 	7		125000	125			No
5/1/2015	15-May	SINGLE FAMILY	3629  SEASONS DR 	8		151000	151			No
5/1/2015	15-May	SINGLE FAMILY	1756  LONDONVIEW PL 	8		127000	127			No
5/1/2015	15-May	SINGLE FAMILY	6129  BENT WOOD DR 	8		210000	210			No
5/4/2015	15-May	SINGLE FAMILY	3102  HARLIN DR 	1		135700	135.7			No
5/4/2015	15-May	SINGLE FAMILY	507  BRENTLAWN DR 	1		240000	240			No
5/4/2015	15-May	SINGLE FAMILY	1300  WEXFORD DOWNS LN 	1		340000	340			No
5/4/2015	15-May	SINGLE FAMILY	2732  DRACUT LN 	1		201900	201.9			No
5/4/2015	15-May	SINGLE FAMILY	817  HOLT GROVE CT 	1		344900	344.9			No
5/4/2015	15-May	SINGLE FAMILY	7815  RAINEY DR 	1		135000	135			No
5/4/2015	15-May	SINGLE FAMILY	3108  CELT ALY 	1		244450	244.45			No
5/4/2015	15-May	SINGLE FAMILY	225  ORLANDO AVE 	2		520000	520			No
5/4/2015	15-May	SINGLE FAMILY	406  HILLWOOD BLVD 	2		475000	475			No
5/4/2015	15-May	SINGLE FAMILY	3726  RICHLAND AVE 	2		535000	535			No
5/4/2015	15-May	SINGLE FAMILY	128  WINDSOR DR 	2		650000	650			No
5/4/2015	15-May	SINGLE FAMILY	7021  COLLINSWOOD DR 	2		265000	265			No
5/4/2015	15-May	SINGLE FAMILY	6420  HOLLY TRACE CT 	2		336000	336			No
5/4/2015	15-May	SINGLE FAMILY	209  WOODFORD PL 	2		880000	880			No
5/4/2015	15-May	SINGLE FAMILY	1707  23RD AVE N 	3		25000	25			No
5/4/2015	15-May	SINGLE FAMILY	 	3		112000	112			No
5/4/2015	15-May	SINGLE FAMILY	 	3		100000	100			No
5/4/2015	15-May	SINGLE FAMILY	5507 B  KENTUCKY AVE 	3		365000	365			No
5/4/2015	15-May	SINGLE FAMILY	7127  RIVERFRONT DR 	3		205000	205			No
5/4/2015	15-May	SINGLE FAMILY	520  PARMLEY DR 	4		43260	43.26			No
5/4/2015	15-May	SINGLE FAMILY	1491  DOLAN RD 	4		97000	97			No
5/4/2015	15-May	SINGLE FAMILY	1019  S GRAYCROFT AVE 	6		187000	187			No
5/4/2015	15-May	SINGLE FAMILY	2320  FERNWOOD DR 	6		236900	236.9			No
5/4/2015	15-May	SINGLE FAMILY	2158  ROCK CITY ST 	6		138000	138			No
5/4/2015	15-May	SINGLE FAMILY	943  W EASTLAND AVE 	6		405000	405			No
5/4/2015	15-May	SINGLE FAMILY	1309  WOODLAND ST 	6		652000	652			No
5/4/2015	15-May	SINGLE FAMILY	201  NOONAN CT 	6		240000	240			No
5/4/2015	15-May	SINGLE FAMILY	919  S 13TH CT 	6		129900	129.9			No
5/4/2015	15-May	SINGLE FAMILY	110  MEADOW ST 	7		125000	125			No
5/4/2015	15-May	SINGLE FAMILY	113  JONESBORO CT 	7		175000	175			No
5/5/2015	15-May	SINGLE FAMILY	2021  HUTTON DR 	1		60000	60			No
5/5/2015	15-May	SINGLE FAMILY	477  MORTON AVE 	1		86000	86			No
5/5/2015	15-May	SINGLE FAMILY	209  HEATHER CIR 	1		395000	395			No
5/5/2015	15-May	SINGLE FAMILY	5225  WHISPERING VALLEY DR 	1		380000	380			No
5/5/2015	15-May	SINGLE FAMILY	3932  STEPHENS RIDGE WAY 	1		195000	195			No
5/5/2015	15-May	SINGLE FAMILY	1409  ASHWOOD AVE 	2		650499	650.499			No
5/5/2015	15-May	SINGLE FAMILY	524  HOLT VALLEY RD 	2		192000	192			No
5/5/2015	15-May	SINGLE FAMILY	8445  MERRYMOUNT DR 	3		246000	246			No
5/5/2015	15-May	SINGLE FAMILY	501  MONCRIEF AVE 	5		285900	285.9			No
5/5/2015	15-May	SINGLE FAMILY	309  HOLLYWOOD ST 	5		128000	128			No
5/5/2015	15-May	SINGLE FAMILY	3904  DEVONSHIRE DR 	5		159900	159.9			No
5/5/2015	15-May	SINGLE FAMILY	1012  SAUNDERS AVE 	6		174000	174			No
5/5/2015	15-May	SINGLE FAMILY	1  BELLE FORREST AVE 	6		88000	88			No
5/5/2015	15-May	SINGLE FAMILY	301  NEILL AVE 	6		167000	167			No
5/5/2015	15-May	SINGLE FAMILY	810  SETLIFF PL 	6		449900	449.9			No
5/5/2015	15-May	SINGLE FAMILY	1608  LONG AVE 	6		339000	339			No
5/5/2015	15-May	SINGLE FAMILY	4107  CHURCH ST 	7		115000	115			No
5/5/2015	15-May	SINGLE FAMILY	757  SWEETWATER CIR 	7		192000	192			No
5/5/2015	15-May	SINGLE FAMILY	903  BEXHILL CT S 	7		149500	149.5			No
5/5/2015	15-May	SINGLE FAMILY	1540  MOUNT MITCHELL CT 	8		117000	117			No
5/5/2015	15-May	SINGLE FAMILY	3105  DEMETROS PL 	8		190000	190			No
5/5/2015	15-May	SINGLE FAMILY	1621  RICE HILL CT 	8		105500	105.5			No
5/5/2015	15-May	SINGLE FAMILY	1413  ROCKGLADE RUN 	8		168351	168.351			No
5/5/2015	15-May	SINGLE FAMILY	5725  CEDAR ASH XING 	8		159000	159			No
5/6/2015	15-May	SINGLE FAMILY	1971  GATLIN DR 	1		100000	100			No
5/6/2015	15-May	SINGLE FAMILY	119  STIRTON RD 	1		140000	140			No
5/6/2015	15-May	SINGLE FAMILY	4113  APACHE TRL 	1		103500	103.5			No
5/6/2015	15-May	SINGLE FAMILY	1818  BEECH AVE 	2		595000	595			No
5/6/2015	15-May	SINGLE FAMILY	6321  HARDING PIKE 	2		475000	475			No
5/6/2015	15-May	SINGLE FAMILY	910  NEUHOFF LN 	2		350000	350			No
5/6/2015	15-May	SINGLE FAMILY	1584  BROCKTON LN 	2		237684	237.684			No
5/6/2015	15-May	SINGLE FAMILY	1802  12TH AVE N 	3		62500	62.5			No
5/6/2015	15-May	SINGLE FAMILY	527  SNYDER AVE 	3		168000	168			No
5/6/2015	15-May	SINGLE FAMILY	5710  MAXON AVE 	3		130000	130			No
5/6/2015	15-May	SINGLE FAMILY	7225  EXPLORER TRL 	3		233000	233			No
5/6/2015	15-May	SINGLE FAMILY	3020  CAPPS DR 	4		105000	105			No
5/6/2015	15-May	SINGLE FAMILY	1400  CARDINAL AVE 	6		195500	195.5			No
5/6/2015	15-May	SINGLE FAMILY	1507  MCGAVOCK PIKE 	6		115000	115			No
5/6/2015	15-May	SINGLE FAMILY	1010  N 16TH ST 	6		355000	355			No
5/6/2015	15-May	SINGLE FAMILY	4204  LONGFELLOW DR 	7		240000	240			No
5/6/2015	15-May	SINGLE FAMILY	4844  EVEREST DR 	7		157500	157.5			No
5/6/2015	15-May	SINGLE FAMILY	3205  RIVER WALK DR 	7		165000	165			No
5/6/2015	15-May	SINGLE FAMILY	1225  JACKSONS VIEW RD 	7		188900	188.9			No
5/6/2015	15-May	SINGLE FAMILY	5116  BAY OVERLOOK DR 	8		285000	285			No
5/6/2015	15-May	SINGLE FAMILY	6124  HAMPTON HALL WAY 	8		206000	206			No
5/6/2015	15-May	SINGLE FAMILY	6124  HAMPTON HALL WAY 	8		206000	206			No
5/6/2015	15-May	SINGLE FAMILY	1704  ROBINDALE CT 	8		265000	265			No
5/6/2015	15-May	SINGLE FAMILY	2382  GRANNY WRIGHT LN 	8		210000	210			No
5/6/2015	15-May	SINGLE FAMILY	3713  WATERFORD WAY 	8		150000	150			No
5/7/2015	15-May	SINGLE FAMILY	2008  ROSEMARY LN 	1		142000	142			No
5/7/2015	15-May	SINGLE FAMILY	271  TOWNES DR 	1		131000	131			No
5/7/2015	15-May	SINGLE FAMILY	3102  FYFFE LN 	1		195000	195			No
5/7/2015	15-May	SINGLE FAMILY	1757  ELIJAH RYAN DR 	1		170000	170			No
5/7/2015	15-May	SINGLE FAMILY	3806  NEVADA AVE 	2		294000	294			No
5/7/2015	15-May	SINGLE FAMILY	6000  HICKORY VALLEY RD 	2		1050000	1050			No
5/7/2015	15-May	SINGLE FAMILY	119  BOWLING AVE 	2		431500	431.5			No
5/7/2015	15-May	SINGLE FAMILY	1009  BATE AVE 	2		638672	638.672			No
5/7/2015	15-May	SINGLE FAMILY	613  BROOK HOLLOW RD 	2		315000	315			No
5/7/2015	15-May	SINGLE FAMILY	2912  PRIMROSE CIR 	2		650000	650			No
5/7/2015	15-May	SINGLE FAMILY	953  BATTERY LN 	2		1118722	1118.722			No
5/7/2015	15-May	SINGLE FAMILY	874  CURTISWOOD LN 	2		4450000	4450			No
5/7/2015	15-May	SINGLE FAMILY	711  CROLEY DR 	3		75000	75			No
5/7/2015	15-May	SINGLE FAMILY	7513  WOODSTREAM DR 	3		367000	367			No
5/7/2015	15-May	SINGLE FAMILY	1140  BELLSHIRE DR 	5		115000	115			No
5/7/2015	15-May	SINGLE FAMILY	536  RONNIE RD 	6		265000	265			No
5/7/2015	15-May	SINGLE FAMILY	4300  GLYNDA DR 	6		142400	142.4			No
5/7/2015	15-May	SINGLE FAMILY	1331 A  PENNOCK AVE 	6		299900	299.9			No
5/7/2015	15-May	SINGLE FAMILY	1001  MAYNOR AVE 	6		130000	130			No
5/7/2015	15-May	SINGLE FAMILY	1601  DORCHESTER AVE 	6		164900	164.9			No
5/7/2015	15-May	SINGLE FAMILY	1801  RIVERSIDE DR 	6		227500	227.5			No
5/7/2015	15-May	SINGLE FAMILY	2314  CARTER AVE 	6		370400	370.4			No
5/7/2015	15-May	SINGLE FAMILY	1900  SHELBY AVE 	6		300000	300			No
5/7/2015	15-May	SINGLE FAMILY	908  BRYAN ST 	7		119000	119			No
5/7/2015	15-May	SINGLE FAMILY	3240  CAIN HARBOR DR 	7		152000	152			No
5/7/2015	15-May	SINGLE FAMILY	2833  GLENOAKS DR 	7		387854	387.854			No
5/7/2015	15-May	SINGLE FAMILY	2024  STROMBURY DR 	7		194900	194.9			No
5/7/2015	15-May	SINGLE FAMILY	97  BENSON RD 	7		140000	140			No
5/7/2015	15-May	SINGLE FAMILY	2020  BRANCH OAK TRL 	8		230000	230			No
5/7/2015	15-May	SINGLE FAMILY	205  FIELDSTONE CT 	8		136000	136			No
5/7/2015	15-May	SINGLE FAMILY	3645  SEASONS DR 	8		185000	185			No
5/8/2015	15-May	SINGLE FAMILY	225  PARAGON MILLS RD 	1		142500	142.5			No
5/8/2015	15-May	SINGLE FAMILY	4915  MONTEREY DR 	1		310100	310.1			No
5/8/2015	15-May	SINGLE FAMILY	500  ROCHELLE DR 	1		375000	375			No
5/8/2015	15-May	SINGLE FAMILY	5004  CROSBY LN 	1		153500	153.5			No
5/8/2015	15-May	SINGLE FAMILY	609  OAKLEY DR 	1		294100	294.1			No
5/8/2015	15-May	SINGLE FAMILY	210  TOWNES DR 	1		137900	137.9			No
5/8/2015	15-May	SINGLE FAMILY	665  MAGNOLIA LN 	1		259900	259.9			No
5/8/2015	15-May	SINGLE FAMILY	4817  AARON DR 	1		196000	196			No
5/8/2015	15-May	SINGLE FAMILY	4821  AARON DR 	1		195000	195			No
5/8/2015	15-May	SINGLE FAMILY	4076  BARNES COVE DR 	1		235000	235			No
5/8/2015	15-May	SINGLE FAMILY	6764  SUGAR HILL DR 	1		242000	242			No
5/8/2015	15-May	SINGLE FAMILY	6604  SUNNYWOOD DR 	1		247900	247.9			No
5/8/2015	15-May	SINGLE FAMILY	6204  TUCKALEECHEE LN 	1		192900	192.9			No
5/8/2015	15-May	SINGLE FAMILY	7212  AUTUMN CROSSING WAY 	1		285000	285			No
5/8/2015	15-May	SINGLE FAMILY	7822  RAINEY DR 	1		156100	156.1			No
5/8/2015	15-May	SINGLE FAMILY	7137  SMOKEY HILL RD 	1		235000	235			No
5/8/2015	15-May	SINGLE FAMILY	4508  NEBRASKA AVE 	2		689000	689			No
5/8/2015	15-May	SINGLE FAMILY	4108  ABERDEEN RD 	2		325000	325			No
5/8/2015	15-May	SINGLE FAMILY	1703  BEECHWOOD AVE 	2		1305000	1305			No
5/8/2015	15-May	SINGLE FAMILY	931  RODNEY DR 	2		309000	309			No
5/8/2015	15-May	SINGLE FAMILY	3704 L  ESTES RD 	2		357500	357.5			No
